tenure_months,monthly_charges,total_charges,num_services,senior_citizen,contract_type,internet_service,tech_support,payment_method,churned
27,32.44,868.82,4,1,month-to-month,fiber,no,mailed-check,0
64,49.54,3147.35,2,0,one-year,none,yes,bank-transfer,0
20,111.33,2375.91,1,0,one-year,dsl,yes,electronic-check,0
17,28.87,487.72,2,1,two-year,dsl,yes,mailed-check,0
49,60.69,2918.38,1,1,month-to-month,none,no,mailed-check,0
45,114.25,4754.07,5,0,one-year,dsl,no,electronic-check,0
10,115.07,1195.45,1,1,month-to-month,fiber,no,bank-transfer,1
59,61.12,3692.47,3,0,one-year,fiber,no,electronic-check,0
14,86.74,1267.05,7,0,two-year,dsl,no,electronic-check,0
57,65.67,3860.19,4,1,two-year,dsl,no,bank-transfer,0
0,95.35,102.51,5,0,month-to-month,dsl,no,mailed-check,1
57,23.16,1419.75,5,0,month-to-month,dsl,yes,bank-transfer,0
56,34.42,1853.38,3,1,one-year,fiber,no,bank-transfer,0
56,81.42,4269.91,5,1,one-year,fiber,yes,electronic-check,0
47,43.26,2206.64,2,0,two-year,dsl,no,bank-transfer,0
33,86.61,2979.91,5,1,month-to-month,fiber,no,electronic-check,0
50,55.12,3015.6,5,1,two-year,fiber,yes,mailed-check,0
19,108.66,2063.28,7,0,one-year,dsl,no,bank-transfer,0
56,101.93,6235.78,7,0,month-to-month,fiber,yes,mailed-check,0
40,69.28,2562.1,1,1,month-to-month,dsl,no,mailed-check,0
33,97.29,3268.59,3,0,one-year,fiber,no,electronic-check,0
36,47.11,1694.85,4,1,month-to-month,dsl,no,mailed-check,0
40,69.43,2500.95,3,0,one-year,fiber,no,mailed-check,0
2,39.75,74.62,5,1,one-year,none,no,credit-card,0
10,106.09,987.37,6,1,month-to-month,dsl,no,bank-transfer,1
17,102.31,1586.5,2,0,month-to-month,none,yes,credit-card,1
8,110.21,960.7,7,1,two-year,dsl,no,mailed-check,0
31,107.75,3651.14,7,1,one-year,dsl,no,credit-card,0
48,115.96,6002.18,7,1,one-year,dsl,yes,mailed-check,1
47,42.83,2209.83,1,0,one-year,fiber,yes,mailed-check,0
33,113.18,3981.94,3,0,one-year,fiber,yes,mailed-check,0
61,77.12,5110.94,1,1,two-year,none,yes,bank-transfer,0
40,62.25,2339.42,1,1,one-year,fiber,yes,bank-transfer,0
5,76.04,361.71,1,0,month-to-month,fiber,no,electronic-check,0
55,54.26,3200.4,4,0,month-to-month,none,no,bank-transfer,0
41,48.86,1995.03,1,0,month-to-month,none,no,credit-card,1
45,44.13,2072.02,3,1,one-year,fiber,yes,mailed-check,0
40,28.24,1143.59,7,1,month-to-month,fiber,no,bank-transfer,0
39,69.66,2611.13,7,1,one-year,fiber,no,bank-transfer,0
6,108.78,624.59,7,0,two-year,dsl,yes,credit-card,0
40,83.02,3485.63,1,0,month-to-month,none,yes,bank-transfer,0
57,72.1,4136.08,5,0,month-to-month,none,no,mailed-check,0
21,62.86,1282.94,5,1,one-year,fiber,yes,electronic-check,0
43,66.44,2923.79,1,0,month-to-month,dsl,yes,credit-card,0
2,40.93,80.55,7,0,one-year,dsl,no,mailed-check,0
25,102.29,2544.5,3,0,month-to-month,none,yes,credit-card,0
31,39.84,1278.99,7,0,month-to-month,none,no,electronic-check,0
70,91.66,6362.26,1,1,one-year,fiber,no,mailed-check,0
15,96.0,1569.58,5,1,month-to-month,none,no,credit-card,0
19,77.49,1467.95,1,1,month-to-month,fiber,no,electronic-check,0
29,106.29,3367.12,7,1,month-to-month,none,no,mailed-check,0
71,49.11,3729.27,5,0,month-to-month,dsl,no,credit-card,0
61,108.16,7113.61,1,0,two-year,dsl,no,mailed-check,0
2,92.94,195.67,2,0,month-to-month,fiber,no,credit-card,1
16,99.87,1631.32,3,1,month-to-month,dsl,yes,bank-transfer,0
59,86.46,5134.47,1,1,month-to-month,fiber,yes,credit-card,0
4,104.63,422.84,1,0,month-to-month,fiber,yes,bank-transfer,1
61,119.31,6843.35,7,1,month-to-month,dsl,no,electronic-check,0
20,62.02,1169.55,7,1,one-year,fiber,yes,credit-card,0
66,101.39,6068.29,4,0,month-to-month,dsl,no,mailed-check,0
21,94.46,2081.08,7,1,one-year,fiber,no,mailed-check,1
31,65.29,1872.14,5,1,month-to-month,dsl,no,bank-transfer,0
47,112.69,5383.45,1,0,month-to-month,fiber,no,mailed-check,0
9,59.44,496.22,6,0,month-to-month,fiber,yes,mailed-check,0
40,76.55,2796.55,1,1,one-year,dsl,yes,bank-transfer,0
36,30.59,1108.64,6,1,two-year,dsl,no,bank-transfer,0
56,42.58,2562.41,3,1,month-to-month,dsl,no,bank-transfer,0
71,104.07,7176.19,1,0,two-year,dsl,no,electronic-check,0
47,59.66,3039.12,2,1,month-to-month,dsl,no,credit-card,1
29,59.41,1554.15,5,1,one-year,dsl,no,bank-transfer,0
29,44.6,1284.54,6,0,one-year,fiber,no,bank-transfer,0
30,69.16,1928.22,4,1,month-to-month,dsl,yes,credit-card,0
58,100.58,5618.71,2,0,month-to-month,dsl,no,mailed-check,0
23,109.52,2279.02,7,0,month-to-month,dsl,no,electronic-check,1
12,27.01,294.0,6,1,one-year,fiber,no,electronic-check,0
24,77.48,1938.67,3,0,month-to-month,fiber,yes,credit-card,1
1,66.73,68.79,4,1,two-year,fiber,no,credit-card,0
7,81.43,536.76,7,1,month-to-month,fiber,yes,electronic-check,1
6,64.73,419.54,3,1,two-year,fiber,no,bank-transfer,1
55,59.86,3416.08,1,1,month-to-month,dsl,yes,bank-transfer,0
52,67.19,3379.4,2,1,one-year,dsl,no,electronic-check,0
50,78.2,3837.78,5,1,month-to-month,fiber,yes,credit-card,0
33,70.1,2217.32,7,1,month-to-month,dsl,yes,mailed-check,0
51,67.21,3654.35,6,1,month-to-month,fiber,yes,electronic-check,1
11,101.78,1118.23,5,0,one-year,fiber,no,bank-transfer,1
64,94.56,5610.43,3,0,month-to-month,fiber,no,credit-card,1
36,54.14,1832.77,4,0,one-year,fiber,no,electronic-check,0
67,100.06,6431.27,1,1,two-year,none,no,bank-transfer,0
10,105.37,1033.29,3,1,month-to-month,fiber,no,bank-transfer,1
35,35.35,1260.17,5,1,month-to-month,fiber,no,bank-transfer,1
50,78.27,4276.8,7,0,month-to-month,none,yes,bank-transfer,0
35,48.53,1617.67,7,0,month-to-month,fiber,no,bank-transfer,1
32,93.92,2902.3,6,0,month-to-month,fiber,no,electronic-check,0
11,43.88,436.72,1,1,one-year,dsl,no,electronic-check,0
27,87.14,2292.81,6,1,month-to-month,dsl,no,credit-card,1
17,45.51,800.76,2,0,month-to-month,fiber,yes,mailed-check,0
21,71.11,1631.61,5,1,one-year,dsl,no,credit-card,0
49,114.86,5898.5,7,0,month-to-month,dsl,no,mailed-check,1
45,58.13,2416.0,7,1,one-year,dsl,no,mailed-check,0
43,107.57,4986.34,5,1,two-year,none,no,electronic-check,0
26,118.69,3294.97,3,0,month-to-month,fiber,yes,mailed-check,0
69,107.49,6955.52,4,1,month-to-month,fiber,no,credit-card,0
6,36.59,238.61,5,1,two-year,none,no,credit-card,1
24,101.97,2552.07,4,1,one-year,dsl,no,mailed-check,0
8,23.21,196.18,3,0,one-year,fiber,yes,mailed-check,0
24,59.33,1412.28,3,0,one-year,fiber,yes,bank-transfer,0
69,107.07,6945.57,5,0,month-to-month,fiber,no,credit-card,1
26,88.88,2449.12,1,0,month-to-month,fiber,yes,bank-transfer,0
65,73.27,4741.06,7,1,one-year,none,yes,electronic-check,0
35,58.79,2250.01,1,1,one-year,dsl,yes,mailed-check,0
50,101.23,4710.57,7,1,one-year,dsl,no,bank-transfer,0
32,90.96,2826.54,1,0,month-to-month,fiber,no,electronic-check,1
19,66.84,1329.79,4,1,two-year,fiber,no,bank-transfer,0
55,109.25,6095.61,3,1,month-to-month,fiber,no,credit-card,0
69,42.99,2926.72,5,1,month-to-month,dsl,yes,mailed-check,0
18,37.04,693.6,4,1,month-to-month,fiber,yes,bank-transfer,0
56,84.28,4939.95,7,1,month-to-month,fiber,yes,bank-transfer,0
18,117.2,2142.21,1,0,one-year,none,no,bank-transfer,1
51,44.73,2198.7,7,0,month-to-month,fiber,no,electronic-check,0
56,44.97,2578.13,5,1,one-year,none,yes,bank-transfer,0
32,33.95,1096.23,6,0,month-to-month,fiber,yes,electronic-check,0
53,106.06,5955.82,1,0,month-to-month,fiber,no,bank-transfer,0
19,42.64,835.03,1,1,month-to-month,fiber,no,mailed-check,0
5,70.32,351.37,3,0,month-to-month,fiber,no,credit-card,1
6,119.09,645.76,3,1,one-year,fiber,no,electronic-check,0
32,21.21,633.51,6,0,month-to-month,dsl,yes,credit-card,0
64,75.65,4683.37,7,0,month-to-month,dsl,no,electronic-check,0
9,71.23,654.07,3,0,month-to-month,fiber,yes,bank-transfer,1
32,100.74,3412.17,6,0,month-to-month,dsl,no,mailed-check,1
50,55.53,3031.91,1,0,month-to-month,fiber,yes,electronic-check,0
14,61.03,871.48,6,0,two-year,dsl,no,electronic-check,0
51,36.79,1962.17,1,1,month-to-month,dsl,no,electronic-check,0
22,94.08,2120.03,5,0,month-to-month,fiber,no,electronic-check,0
58,98.47,5631.62,3,0,two-year,dsl,yes,mailed-check,0
41,33.67,1410.75,3,1,one-year,none,no,electronic-check,0
39,59.35,2268.67,2,0,month-to-month,none,yes,credit-card,0
12,109.29,1299.32,3,0,one-year,fiber,no,credit-card,0
33,20.27,723.89,7,0,two-year,fiber,yes,mailed-check,0
61,49.88,3081.54,6,0,month-to-month,dsl,no,electronic-check,0
1,75.5,69.47,3,1,month-to-month,fiber,yes,credit-card,1
54,53.41,2897.85,3,1,two-year,dsl,yes,bank-transfer,0
35,47.2,1801.76,4,0,one-year,none,no,electronic-check,0
51,66.0,3096.75,5,1,two-year,none,no,electronic-check,0
47,38.15,1962.02,2,0,month-to-month,dsl,yes,bank-transfer,0
31,72.96,2482.35,6,0,two-year,fiber,yes,electronic-check,0
22,90.67,2018.96,7,0,month-to-month,fiber,yes,bank-transfer,1
45,77.53,3371.93,6,0,one-year,fiber,yes,mailed-check,0
10,29.31,264.3,4,0,two-year,dsl,no,credit-card,0
42,104.44,3961.43,3,0,month-to-month,fiber,no,mailed-check,1
6,37.5,219.96,3,1,month-to-month,dsl,no,mailed-check,0
46,96.48,4689.34,6,0,one-year,none,no,bank-transfer,0
45,56.06,2745.9,4,0,two-year,fiber,no,credit-card,0
6,98.28,548.97,1,0,month-to-month,fiber,no,bank-transfer,1
54,40.63,2188.65,5,0,two-year,none,no,bank-transfer,0
29,38.67,1121.82,1,0,month-to-month,fiber,no,mailed-check,0
56,69.7,3809.76,7,0,month-to-month,fiber,yes,mailed-check,0
2,23.29,46.95,3,0,month-to-month,fiber,yes,electronic-check,0
12,42.53,553.74,3,0,two-year,fiber,no,mailed-check,0
35,92.4,3194.24,1,0,month-to-month,dsl,no,credit-card,0
13,103.74,1250.92,2,0,one-year,none,yes,electronic-check,0
23,28.08,667.21,7,0,month-to-month,dsl,no,electronic-check,0
47,108.21,4609.2,4,0,two-year,fiber,yes,bank-transfer,0
10,99.75,1085.3,7,1,one-year,fiber,no,credit-card,0
48,106.97,5586.29,7,1,month-to-month,dsl,yes,credit-card,0
7,89.84,577.58,1,0,month-to-month,none,no,bank-transfer,1
12,87.42,1059.72,3,0,month-to-month,dsl,no,bank-transfer,1
42,72.51,3226.56,6,0,month-to-month,dsl,no,mailed-check,0
57,85.28,4826.52,4,1,two-year,fiber,no,mailed-check,0
12,111.91,1337.22,4,1,one-year,fiber,no,mailed-check,1
21,30.05,690.39,4,1,month-to-month,none,no,electronic-check,0
66,51.58,3220.79,5,0,one-year,fiber,no,mailed-check,0
71,27.25,1944.93,7,0,month-to-month,dsl,yes,electronic-check,0
41,114.48,4332.24,7,0,month-to-month,dsl,no,bank-transfer,1
32,64.53,1983.37,5,1,month-to-month,dsl,no,credit-card,0
24,87.53,2248.15,5,1,month-to-month,fiber,no,credit-card,1
44,104.11,4779.14,3,0,one-year,dsl,no,credit-card,0
42,119.1,5114.25,1,1,month-to-month,fiber,no,mailed-check,1
21,36.18,701.11,5,0,one-year,none,yes,credit-card,0
1,99.95,106.96,1,0,month-to-month,fiber,yes,credit-card,1
10,108.74,1043.49,5,0,one-year,fiber,yes,bank-transfer,0
69,24.89,1729.43,4,1,month-to-month,dsl,yes,electronic-check,0
30,95.41,2709.72,6,0,month-to-month,fiber,no,credit-card,1
34,55.47,1893.8,7,1,month-to-month,dsl,yes,electronic-check,0
33,84.86,2835.18,4,1,month-to-month,fiber,no,mailed-check,0
56,71.4,3870.83,5,0,month-to-month,dsl,no,bank-transfer,0
4,45.97,184.1,4,1,month-to-month,dsl,yes,credit-card,0
5,33.52,164.45,3,0,one-year,dsl,no,credit-card,1
19,31.69,625.89,1,1,month-to-month,dsl,yes,credit-card,0
35,30.33,1070.87,1,0,one-year,none,yes,mailed-check,0
48,83.78,4325.52,6,0,one-year,dsl,no,electronic-check,0
35,55.14,1756.07,7,1,month-to-month,none,yes,credit-card,0
31,41.66,1169.19,1,1,one-year,fiber,yes,credit-card,0
67,89.19,5603.5,3,0,month-to-month,dsl,no,mailed-check,0
11,88.68,901.07,5,1,one-year,dsl,yes,bank-transfer,0
41,73.92,3046.42,5,0,one-year,dsl,yes,credit-card,0
39,113.5,4161.03,6,1,one-year,fiber,no,electronic-check,1
34,58.54,1797.71,5,1,month-to-month,dsl,no,credit-card,1
58,103.59,5747.01,1,0,one-year,none,no,bank-transfer,0
19,27.51,523.65,2,1,month-to-month,dsl,no,bank-transfer,0
68,93.98,6664.49,4,1,month-to-month,dsl,yes,electronic-check,0
23,118.84,2699.64,1,0,month-to-month,dsl,no,bank-transfer,1
39,104.66,4459.48,3,0,month-to-month,fiber,yes,mailed-check,1
37,77.97,2711.48,3,0,one-year,fiber,yes,bank-transfer,0
61,82.68,5057.66,7,0,two-year,none,no,bank-transfer,0
31,55.33,1630.56,3,0,month-to-month,dsl,no,credit-card,0
20,87.95,1866.89,7,1,one-year,dsl,yes,bank-transfer,1
1,97.04,90.98,5,1,one-year,fiber,no,bank-transfer,1
26,119.82,3402.93,5,0,two-year,fiber,yes,mailed-check,0
59,69.25,4262.75,6,0,one-year,fiber,no,mailed-check,0
0,26.13,26.43,6,1,month-to-month,fiber,yes,bank-transfer,1
64,79.59,5126.71,2,1,month-to-month,fiber,no,credit-card,0
39,31.9,1209.88,3,0,one-year,dsl,yes,bank-transfer,0
10,44.48,402.19,4,0,month-to-month,none,yes,bank-transfer,0
21,52.88,1202.68,7,0,two-year,dsl,no,mailed-check,0
39,93.1,3845.08,1,0,two-year,fiber,no,bank-transfer,0
22,38.38,782.7,4,0,two-year,dsl,yes,bank-transfer,0
7,36.58,236.71,2,0,month-to-month,fiber,no,bank-transfer,0
47,24.5,1107.31,2,0,one-year,none,no,mailed-check,0
48,107.32,5422.47,6,0,one-year,none,no,mailed-check,1
8,89.35,715.25,2,0,month-to-month,fiber,no,mailed-check,1
20,23.99,494.6,6,0,month-to-month,fiber,no,mailed-check,0
17,22.83,349.78,7,0,month-to-month,fiber,no,mailed-check,0
47,75.87,3868.07,6,1,month-to-month,fiber,no,electronic-check,0
52,48.25,2341.24,2,0,two-year,fiber,yes,bank-transfer,0
52,79.67,3992.79,1,0,two-year,dsl,no,credit-card,0
67,63.46,4632.06,4,1,month-to-month,fiber,no,electronic-check,1
55,112.33,6465.92,4,1,month-to-month,dsl,no,bank-transfer,0
23,48.78,1124.42,6,0,month-to-month,fiber,yes,credit-card,0
7,87.91,660.04,3,0,month-to-month,dsl,no,credit-card,0
44,25.41,1019.93,2,0,month-to-month,fiber,no,credit-card,0
65,115.59,6876.66,7,1,one-year,fiber,no,mailed-check,0
70,118.08,7695.54,7,0,one-year,fiber,yes,electronic-check,1
16,93.91,1431.81,5,0,two-year,none,no,credit-card,0
17,66.52,1178.12,5,1,two-year,dsl,no,bank-transfer,0
2,42.0,84.54,7,1,month-to-month,fiber,yes,mailed-check,1
10,101.25,997.52,4,0,one-year,fiber,no,credit-card,0
39,93.64,3858.36,2,0,month-to-month,fiber,yes,mailed-check,0
39,42.2,1585.62,5,1,month-to-month,fiber,no,bank-transfer,0
26,65.12,1552.75,4,1,month-to-month,dsl,no,credit-card,0
22,66.28,1428.05,6,1,month-to-month,fiber,yes,credit-card,0
59,102.64,6378.42,6,1,month-to-month,dsl,no,bank-transfer,1
33,88.38,2901.42,4,0,month-to-month,fiber,no,electronic-check,1
58,84.32,5357.26,3,1,month-to-month,fiber,yes,credit-card,0
69,84.98,6281.26,3,1,two-year,dsl,no,mailed-check,0
22,47.05,1095.33,5,1,month-to-month,fiber,yes,bank-transfer,0
14,57.17,844.11,5,0,month-to-month,fiber,yes,bank-transfer,0
68,24.57,1697.87,4,0,two-year,fiber,no,electronic-check,0
45,98.69,4797.36,4,0,one-year,dsl,yes,bank-transfer,0
20,63.3,1288.76,7,1,month-to-month,fiber,no,mailed-check,0
44,63.82,2736.49,2,1,two-year,fiber,no,mailed-check,0
37,44.54,1547.75,2,0,month-to-month,fiber,no,credit-card,0
65,40.94,2827.74,6,1,month-to-month,fiber,no,bank-transfer,0
18,78.78,1381.49,7,1,month-to-month,dsl,no,mailed-check,1
71,43.26,3250.16,5,1,month-to-month,none,no,electronic-check,0
67,26.42,1941.14,3,0,one-year,dsl,no,bank-transfer,0
13,96.75,1232.27,3,0,month-to-month,dsl,no,bank-transfer,0
11,57.65,613.95,4,0,one-year,fiber,no,electronic-check,0
38,58.02,2059.29,1,1,one-year,fiber,yes,credit-card,0
3,63.13,188.46,4,1,two-year,fiber,no,mailed-check,0
21,101.5,2197.16,2,0,month-to-month,dsl,no,bank-transfer,1
31,52.08,1554.03,2,0,month-to-month,dsl,yes,credit-card,1
69,95.8,6591.25,4,1,two-year,fiber,no,bank-transfer,0
71,113.95,8150.44,7,1,one-year,dsl,yes,credit-card,0
10,86.09,822.2,2,0,month-to-month,fiber,yes,electronic-check,1
64,63.17,3657.6,7,0,month-to-month,fiber,no,mailed-check,0
6,94.78,536.34,4,1,one-year,dsl,no,electronic-check,0
53,65.79,3698.28,7,1,one-year,fiber,yes,electronic-check,0
60,61.44,3522.77,3,1,one-year,none,no,mailed-check,0
64,72.53,4190.56,7,1,two-year,fiber,no,electronic-check,0
16,51.77,815.89,5,0,month-to-month,dsl,no,mailed-check,0
64,30.43,2018.59,5,1,month-to-month,fiber,yes,electronic-check,0
8,61.49,516.75,4,1,one-year,none,yes,electronic-check,0
37,32.39,1177.79,4,0,two-year,fiber,no,credit-card,0
33,61.04,2043.27,4,0,month-to-month,dsl,no,bank-transfer,0
22,75.69,1746.94,6,0,one-year,dsl,no,mailed-check,0
1,113.07,121.87,6,0,month-to-month,fiber,no,bank-transfer,1
55,23.62,1335.45,1,0,month-to-month,fiber,no,mailed-check,0
24,82.15,2046.86,5,1,two-year,none,no,mailed-check,0
47,65.77,2843.08,6,0,month-to-month,none,no,credit-card,0
29,22.03,628.71,6,1,month-to-month,dsl,no,bank-transfer,0
26,44.95,1259.62,4,1,one-year,fiber,no,credit-card,0
63,31.85,1870.39,3,1,month-to-month,dsl,yes,mailed-check,1
6,41.68,240.57,5,0,month-to-month,dsl,no,mailed-check,0
53,47.46,2604.91,5,0,one-year,dsl,yes,credit-card,0
53,60.13,3443.16,3,0,month-to-month,none,yes,credit-card,0
27,72.9,1794.71,3,1,one-year,dsl,no,electronic-check,0
18,20.1,388.61,3,0,month-to-month,fiber,no,mailed-check,0
0,36.19,34.17,1,0,month-to-month,fiber,no,credit-card,0
67,29.36,2109.09,1,1,one-year,dsl,no,mailed-check,0
68,74.97,5494.82,1,1,month-to-month,fiber,yes,bank-transfer,0
17,52.91,949.03,3,0,two-year,dsl,yes,credit-card,0
2,74.84,162.37,4,1,two-year,dsl,yes,electronic-check,0
8,42.18,368.56,3,0,two-year,fiber,no,electronic-check,0
4,22.42,97.31,7,0,month-to-month,fiber,yes,credit-card,1
59,114.14,6751.94,2,0,month-to-month,fiber,yes,credit-card,1
64,30.83,1958.79,3,1,two-year,fiber,no,credit-card,0
11,32.69,331.2,2,0,month-to-month,dsl,yes,bank-transfer,0
53,34.65,1732.17,3,0,one-year,dsl,no,electronic-check,0
12,118.13,1460.76,5,1,two-year,fiber,yes,credit-card,1
26,81.77,1967.56,3,0,month-to-month,none,no,electronic-check,1
43,81.03,3792.57,3,0,month-to-month,dsl,no,electronic-check,0
51,118.67,5721.78,5,0,one-year,dsl,no,bank-transfer,0
62,28.84,1640.72,6,1,one-year,none,yes,mailed-check,0
3,117.45,333.69,2,1,month-to-month,none,yes,credit-card,1
14,40.4,514.57,1,1,one-year,dsl,yes,credit-card,0
20,82.31,1536.26,2,0,one-year,fiber,yes,credit-card,0
22,62.01,1388.14,5,1,month-to-month,fiber,no,credit-card,0
71,58.4,3971.56,7,1,month-to-month,fiber,yes,bank-transfer,0
55,113.12,6596.34,2,1,one-year,fiber,yes,credit-card,0
23,34.92,787.86,1,1,one-year,none,yes,credit-card,0
69,119.71,8613.46,4,1,two-year,dsl,no,mailed-check,0
35,57.91,2111.29,7,0,month-to-month,fiber,no,mailed-check,0
36,84.88,2833.09,4,0,two-year,dsl,no,bank-transfer,0
31,116.79,3299.41,7,1,one-year,fiber,no,credit-card,0
10,25.76,275.22,5,0,one-year,fiber,yes,mailed-check,0
